,time,V,m,n,h,s
6303,78.78749999999681,-74.33842224942057,0.01670211387395052,0.4796613337753292,0.40638984397308536,0.4796613337753292
6304,78.7999999999968,-74.31586842335184,0.016750029697339745,0.4784072764479532,0.4078491784026974,0.4784072764479532
6305,78.81249999999679,-74.29321261547635,0.016798297884978098,0.47716019975995044,0.40930100601460484,0.47716019975995044
6306,78.82499999999678,-74.2704557736951,0.016846917692549437,0.475918538422945,0.4107442629151112,0.475918538422945
6307,78.83749999999677,-74.24759752039411,0.016895889224277177,0.4746824580286041,0.41217686659382985,0.4746824580286041
6308,78.84999999999675,-74.22463636519372,0.016945215444100683,0.4734565822143738,0.41361229910939534,0.4734565822143738
6309,78.86249999999674,-74.20157625767457,0.016994901754380457,0.4722367264924761,0.4150357659147646,0.4722367264924761
6310,78.87499999999673,-74.17841678516768,0.017044941790780185,0.4710200735604727,0.4164458509221268,0.4710200735604727
6311,78.88749999999672,-74.15515402083459,0.01709533861702662,0.4698073174779939,0.41785378320918876,0.4698073174779939
6312,78.89999999999671,-74.1317871378414,0.01714610300441107,0.4686044540650762,0.4192499285090203,0.4686044540650762
6313,78.9124999999967,-74.10832118384717,0.017197239046123056,0.4674070668625967,0.42064255557911034,0.4674070668625967
6314,78.92499999999669,-74.0847578766359,0.01724873796464939,0.4662131366233204,0.42202841799793656,0.4662131366233204
6315,78.93749999999667,-74.06109500536867,0.01730059821430581,0.46502997970122084,0.42341413808111555,0.46502997970122084
6316,78.94999999999666,-74.03733697043634,0.017352826908087215,0.463850732413297,0.42478204738791886,0.463850732413297
6317,78.96249999999665,-74.01347928009619,0.01740541657815202,0.4626795061902903,0.42614795856407545,0.4626795061902903
6318,78.97499999999664,-73.9895272566751,0.01745837943121985,0.4615058860244909,0.4275089773634646,0.4615058860244909
6319,78.98749999999663,-73.96547180636578,0.0175117059263377,0.46034330971524556,0.4288623093901183,0.46034330971524556
6320,78.99999999999662,-73.94131947432393,0.01756541863954626,0.4591906943248841,0.43020715535491577,0.4591906943248841
6321,79.0124999999966,-73.91707768289953,0.017619505329958273,0.4580369741478517,0.4315467820437007,0.4580369741478517
6322,79.0249999999966,-73.89273906845088,0.017673951631522106,0.456894529943006,0.4328842240870594,0.456894529943006
6323,79.03749999999658,-73.868311013979,0.01772877635582338,0.4557642161410404,0.4342086783048902,0.4557642161410404
6324,79.04999999999657,-73.8437982760819,0.01778396516281051,0.45463987291918684,0.43553317004031017,0.45463987291918684
6325,79.06249999999656,-73.81920283422178,0.017839509493188698,0.45351613946651503,0.43684613745036954,0.45351613946651503
6326,79.07499999999655,-73.79451966826915,0.017895406997305796,0.45239443787702427,0.43815613756647787,0.45239443787702427
6327,79.08749999999654,-73.7697444657905,0.017951671267033106,0.4512841640403574,0.43945042722462385,0.4512841640403574
6328,79.09999999999653,-73.74488179491601,0.01800831442718856,0.4501741780915709,0.44074454068317,0.4501741780915709
6329,79.11249999999652,-73.7199253387372,0.01806532834364445,0.44907426334898276,0.44203047495878944,0.44907426334898276
6330,79.1249999999965,-73.69488421133619,0.018122729848187642,0.44798059696173853,0.44331229894997415,0.44798059696173853
6331,79.13749999999649,-73.66976132016688,0.0181805003129117,0.4468957521134828,0.4445851719630689,0.4468957521134828
6332,79.14999999999648,-73.64455827455173,0.018238635257273598,0.4458174427549687,0.44585413235535026,0.4458174427549687
6333,79.16249999999647,-73.61927575274659,0.018297133153237465,0.44473371535712664,0.44711526270749685,0.44473371535712664
6334,79.17499999999646,-73.59390132441342,0.018355994614392215,0.44366188155938263,0.44836992129589026,0.44366188155938263
6335,79.18749999999645,-73.56844312830829,0.01841525091008548,0.4425968189282965,0.4496191363666707,0.4425968189282965
6336,79.19999999999644,-73.54290427024657,0.01847488542731701,0.4415369385592906,0.4508573880579398,0.4415369385592906
6337,79.21249999999642,-73.51728619809141,0.01853489318081817,0.44048649511412347,0.45209644406204796,0.44048649511412347
6338,79.22499999999641,-73.49159203162822,0.018595273025969715,0.4394468546316562,0.45331877988574387,0.4394468546316562
6339,79.2374999999964,-73.46582791072936,0.018656019833517577,0.43840876319827604,0.4545387988945598,0.43840876319827604
6340,79.24999999999639,-73.43999019551767,0.018717121225263488,0.4373798375641992,0.45575433148705496,0.4373798375641992
6341,79.26249999999638,-73.41408525078695,0.01877858795867407,0.4363475146358866,0.45696251175571917,0.4363475146358866
6342,79.27499999999637,-73.38810556655805,0.01884040700173454,0.4353274800695623,0.4581655023745922,0.4353274800695623
6343,79.28749999999636,-73.36205838200316,0.018902598413166605,0.4343126332163595,0.45936723962765763,0.4343126332163595
6344,79.29999999999634,-73.33594538142808,0.018965147018187644,0.4332969735664044,0.460556023000417,0.4332969735664044
6345,79.31249999999633,-73.30975971684072,0.019028050840765295,0.432291879517674,0.4617354931081004,0.432291879517674
